source,url,title,search_term,content,categories,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/African-American_culture,African-American culture,Black culture,"African-American culture, also known as Black American culture or Black culture in American English, refers to the cultural expressions of African Americans, either as part of or distinct from mainstream American culture. African-American/Black-American culture has been influential on American and global worldwide culture as a whole. Black-American/African American culture primarily refers to the distinct cultural expressions, traditions, and contributions of people who are descendants of those enslaved in the United States, as well as free people of color who lived in the country before 1865. This culture is rooted in a specific ethnic group and is separate from the cultures of more recent melanated (dark-skinned) immigrants from Africa, the Caribbean, or Afro-Latinos. African American culture is not simply defined by race or historical struggle but is deeply rooted in shared practices, identity, and community. African American culture encompasses many aspects, including spiritual bel","African-American cultural history, African-American society, Culture of the Southern United States",2025-06-22 19:12:10
Wikipedia,https://en.wikipedia.org/wiki/Rae_Lil_Black,Rae Lil Black,Black culture,"Nuray Istiqbal (born Kae Asakura;[a] Japanese: 加江 朝倉; August 17, 1996), also known by her former stage name Rae Lil Black, is a Japanese model, social media influencer, and former pornographic actress. She has also created content on various platforms, including YouTube, TikTok, and Instagram, where she shares gaming content and vlogs. Following a visit to Malaysia in 2024, she converted to Islam.","1996 births, Actresses from Osaka, Converts to Islam, Japanese female adult models, Japanese Muslims",2025-06-22 19:12:11
Wikipedia,https://en.wikipedia.org/wiki/Longshan_culture,Longshan culture,Black culture,"The Longshan culture, also sometimes referred to as the Black Pottery Culture, was a late Neolithic culture in the middle and lower Yellow River valley areas of northern China from about 3000 to 1900 BC. The first archaeological find of this culture took place at the Chengziya Archaeological Site in 1928, with the first excavations in 1930 and 1931. The culture is named after the nearby modern town of Longshan (lit. ""Dragon Mountain"") in Zhangqiu, Shandong. The culture was noted for its highly polished black pottery (or egg-shell pottery). The population expanded dramatically during the 3rd millennium BC, with many settlements having rammed earth walls. In addition to the Shandong area, variants developed in the middle Yellow River area, Taosi in the Fen River valley, and in the Wei River valley. Around 2000 BC, the population decreased sharply and large settlements were abandoned in most areas except the central area, which evolved into the Bronze Age Erlitou culture. A distinctive fe","Neolithic cultures of China, 3rd-millennium BC establishments in China, 2nd-millennium BC disestablishments, Archaeological cultures of China",2025-06-22 19:12:12
Wikipedia,https://en.wikipedia.org/wiki/Culture_of_Detroit,Culture of Detroit,Black culture,"The culture of Detroit, Michigan, has influenced American and global culture through its commercial enterprises and various forms of popular music throughout the 20th and 21st century. Its automotive heritage plays an important role in the city's culture. Music has been the dominant feature of Detroit's nightlife since the late 1940s. The metropolitan area boasts two of the top live music venues in the United States. The Pine Knob Music Theatre (formerly DTE Energy Music Theatre), which was the most attended summer venue in the United States in 2005 for the fifteenth consecutive year, while the closed Palace of Auburn Hills ranked twelfth, according to music industry source Pollstar. Detroit's major performance centers include Orchestra Hall, home of the Detroit Symphony Orchestra, the Detroit Opera House, the Fox Theatre, Masonic Temple Theatre, the Fisher Theatre, and the Detroit Film Theatre at the Detroit Institute of Arts.",Culture of Detroit,2025-06-22 19:12:13
Wikipedia,https://en.wikipedia.org/wiki/Schomburg_Center_for_Research_in_Black_Culture,Schomburg Center for Research in Black Culture,Black culture,"The Schomburg Center for Research in Black Culture is a research library of the New York Public Library (NYPL) and an archive repository for information on people of African descent worldwide. Located at 515 Malcolm X Boulevard (Lenox Avenue) between West 135th and 136th Streets in the Harlem neighborhood of Manhattan, New York City, it has, almost from its inception, been an integral part of the Harlem community. It is named for Afro-Puerto Rican scholar Arturo Alfonso Schomburg. The resources of the center are broken up into five divisions: the Art and Artifacts Division, the Jean Blackwell Hutson General Research and Reference Division, the Manuscripts, Archives and Rare Books Division, the Moving Image and Recorded Sound Division, and the Photographs and Prints Division.","African-American arts organizations, Black studies organizations, Archives in New York City, Libraries on the National Register of Historic Places in Manhattan, Library buildings completed in 1905",2025-06-22 19:12:15
Wikipedia,https://en.wikipedia.org/wiki/Black_dandyism,Black dandyism,Black culture,"Black dandyism is a cultural movement and fashion style in which Black people use clothing and personal style, specifically the historically European sensibility of the dandy, as a form of self-expression and a way to address societal limitations. Beginning in the late-nineteenth century and early-twentieth century after Emancipation, with much traction especially gained during the Harlem Renaissance, it was chosen as the Met Gala's theme for 2025. While Black dandyism existed in the 19th-century, Black dandyism as a cultural movement began in the early 20th century and was inspired by dandy, an aesthetic of finding individuality ""by being impeccably groomed and dressed,"" from the 18th century. Specifically, it came about after the time of Emancipation and during the Harlem Renaissance when Black individuals took on ""European-style"" fashion, like the zoot suits worn in dance halls, in order to show autonomy in the face of racial discrimination and societal restriction. In addition to t","History of fashion, Black culture",2025-06-22 19:12:16
Wikipedia,https://en.wikipedia.org/wiki/African-American_hair,African-American hair,Black culture,"African-American hair or Black hair refers to hair types, textures, and styles that are linked to African-American culture, often drawing inspiration from African hair culture. It plays a major role in the identity and politics of Black culture in the United States and across the diaspora. African-American hair often has a kinky hairy texture, appearing tightly coiled and packed. Black hair has a complex history, culture, and cultural impact, including its relationship with racism. Black hair is the product of an inherited genetic trait. The most studied black hair gene is MC1R which causes the body to produce a protein called melanocortin. This protein causes hair follicles to produce a type of melanin pigmentation called eumelanin. Black hair has the highest concentration of this pigmentation with brown, blonde and red hair following behind. In old age, hair comes to turn grey due to the inability of the hair follicle to produce eumelanin. This inability happens after the pigmentatio","African-American hair, Hairdressing, Hairstyles, Human hair",2025-06-22 19:12:17
Wikipedia,https://en.wikipedia.org/wiki/Ball_culture,Ball culture,Black culture,"The Ballroom scene (also known as the Ballroom community, Ballroom culture, or just Ballroom) is an African-American and Latino underground LGBTQ+ subculture. The scene traces its origins to the drag balls of the mid-19th century United States, such as those hosted by William Dorsey Swann, a formerly enslaved Black man in Washington D.C.. By the early 20th century, integrated drag balls were popular in cities such as New York, Chicago, New Orleans, Baltimore, and Philadelphia. In the mid-20th century, as a response to racism in integrated drag spaces, the balls evolved into house ballroom, where Black and Latino attendees could ""walk"" in a variety of categories for trophies and cash prizes. Most participants in ballroom belong to groups known as ""houses"", where chosen families of friends form relationships and communities separate from their families of origin, from which they may be estranged. The influence of ballroom culture can be seen in dance, language, music, and popular culture","Ball culture, African-American culture, African–Hispanic and Latino American relations, Drag (entertainment), Culture of New York City",2025-06-22 19:12:19
Wikipedia,https://en.wikipedia.org/wiki/Culture_of_Africa,Culture of Africa,Black culture,"The Culture of Africa is varied and manifold, consisting of a mixture of countries with various peoples depicting their unique characteristic and trait from the continent of Africa. It is a product of the diverse populations that inhabit the continent of Africa and the African diaspora. Generally, Culture can be defined as a collective mass of distinctive qualities belonging to a certain group of people. These qualities include laws, morals, beliefs, knowledge, art, customs, and any other attributes belonging to a member of that society. Culture is the way of life of a group of people. Africa has numerous ethnic nationalities all with varying qualities such as language, dishes, greetings, dressing, dances and music. However, each of the regions of Africa share a series of dominant cultural traits which distinguish various African regional cultures from each other and the rest of the world. For example, social values, religion, morals, political values, economics, and aesthetic values a",Culture of Africa,2025-06-22 19:12:20
Wikipedia,https://en.wikipedia.org/wiki/African_diaspora,African diaspora,African diaspora,"The African diaspora is the worldwide collection of communities descended from people from Africa. The term most commonly refers to the descendants of the native West and Central Africans who were enslaved and shipped to the Americas via the Atlantic slave trade between the 16th and 19th centuries, with their largest populations in Brazil, the United States, and Haiti. The term can also be used to refer to African descendants who immigrated to other parts of the world. Scholars identify ""four circulatory phases"" of this migration out of Africa. The phrase African diaspora gradually entered common usage at the turn of the 21st century. The term diaspora originates from the Greek διασπορά (diaspora, ""scattering"") which gained popularity in English in reference to the Jewish diaspora before being more broadly applied to other populations. Less commonly, the term has been used in scholarship to refer to more recent emigration from Africa.",African diaspora,2025-06-22 19:12:24
