title,url,content,categories,date_scraped
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,"Nelson Rolihlahla Mandela (/mænˈdɛlə/ man-DEL-ə, Xhosa: xolíɬaɬa mandɛ̂ːla; born Rolihlahla Mandela;  July  –  December ) was a South African anti-apartheid activist and politician who served as the first president of South Africa from  to . He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by fostering racial reconciliation. Ideologically an African nationalist and socialist, he served as the president of the African National Congress (ANC) party from  to . A Xhosa, Mandela was born into the Thembu royal family in Mvezo, South Africa. He studied law at the University of Fort Hare and the University of Witwatersrand before working as a lawyer in Johannesburg. There he became involved in anti-colonial and African nationalist politics, joining the ANC in  and co-founding its Youth League in . After the National Party's white-only government established apartheid, a system of racial segregation that privileged whites, Mandela and the ANC committed themselves to its overthrow. He was appointed president of the ANC's Transvaal branch, rising to prominence for his involvement in the  Defiance Campaign and the  Congress of the People. He was repeatedly arrested for seditious activities and was unsuccessfully prosecuted in the  Treason Trial. Influenced by Marxism, he secretly joined the banned South African Communist Party (SACP). Although initially committed to non-violent protest, in association with the SACP he co-founded the militant uMkhonto we Sizwe in  that led a sabotage campaign against the apartheid government. He was arrested and imprisoned in , and, following the Rivonia Trial, was sentenced to life imprisonment for conspiring to overthrow the state. Mandela served  years in prison, split between Robben Island, Pollsmoor Prison, and Victor Verster Prison. Amid growing domestic and international pressure and fears of racial civil war, P",Nelson Mandela | 1918 births | 2013 deaths | 20th-century Methodists | 20th-century philanthropists,2025-06-22 19:37:59
George Floyd,https://en.wikipedia.org/wiki/George_Floyd,"George Perry Floyd Jr. (October ,  – May , ) was an African-American man who was murdered by a white police officer in Minneapolis, Minnesota, during an arrest made after a store clerk suspected Floyd had used a counterfeit twenty-dollar bill, on May , . Derek Chauvin, one of four police officers who arrived on the scene, knelt on Floyd's neck and back for over nine minutes, fatally asphyxiating him. After his murder, a series of protests against police brutality, especially towards black people, quickly spread globally and across the United States. His dying words, ""I can't breathe"", became a rallying slogan. Born in Fayetteville, North Carolina, Floyd grew up in Houston, Texas, playing football and basketball throughout high school and college. Between  and , he was convicted of eight crimes. He served four years in prison after accepting a plea bargain for a  aggravated robbery in a home invasion. After he was paroled in , he served as a mentor in his religious community and posted anti-violence videos to social media. In , he moved to the Minneapolis area, residing in the nearby suburb of St. Louis Park, and worked as a truck driver and bouncer. In , he lost both jobs during the COVID- pandemic. After his death, the City of Minneapolis settled a wrongful death lawsuit with Floyd's family for $ million. Chauvin was convicted on two counts of murder and one count of manslaughter on April , , and on June , , was sentenced to +⁄ years in prison. The other three officers at the scene were also later convicted of violating Floyd's civil rights. Floyd was born on October , , in Fayetteville, North Carolina, to George Perry (–) and Larcenia ""Cissy"" Jones Floyd (–). He had four siblings.",Murder of George Floyd | 1973 births | 2020 deaths | 20th-century African-American male singers | 20th-century American male singers,2025-06-22 19:38:01
Bob Marley,https://en.wikipedia.org/wiki/Bob_Marley,"Robert Nesta Marley OM ( February  –  May ) was a Jamaican singer, songwriter, and guitarist. Considered one of the pioneers of reggae, he fused elements of reggae, ska and rocksteady and was renowned for his distinctive vocal and songwriting style. Marley increased the visibility of Jamaican music worldwide and became a global figure in popular culture. He became known as a Rastafarian icon, and he infused his music with a sense of spirituality. Marley is also considered a global symbol of Jamaican music and culture and identity and was controversial in his outspoken support for democratic social reforms. Marley also supported the legalisation of cannabis and advocated for Pan-Africanism. Born in Nine Mile, Jamaica, Marley began his career in , after forming the group Teenagers with Peter Tosh and Bunny Wailer, which became the Wailers. In , they released their debut studio album, The Wailing Wailers, which included the single ""One Love"", a reworking of ""People Get Ready"". It was popular worldwide and established the group as a rising figure in reggae. The Wailers released  more studio albums, and after signing to Island Records, changed their name to Bob Marley and the Wailers. While initially employing louder instrumentation and singing, they began engaging in rhythmic-based song construction in the late s and early s, which coincided with Marley's conversion to Rastafari. Around this time, Marley relocated to London, and the group embodied their musical shift with the release of the album The Best of The Wailers (). Bob Marley and the Wailers began to gain international attention after signing to Island and touring in support of the albums Catch a Fire and Burnin' (both ). Following their disbandment a year later, Marley carried on under the band's name. The album Natty Dread () received positive reviews. In , following the global popularity of Eric Clapton's version of Marley's ""I Shot the Sheriff"", Marley had his international breakthrough with his first hit o",Bob Marley | 1945 births | 1981 deaths | 20th-century Eastern Orthodox Christians | 20th-century Jamaican male singers,2025-06-22 19:38:02
Akon,https://en.wikipedia.org/wiki/Akon,"Aliaune Damala Bouga Time Puru Nacka Lu Lu Lu Badara Akon Thiam (born April , ), known mononymously as Akon (/ˈeɪkɒn/), is a Senegalese-American singer, songwriter, rapper, record producer, businessman, and philanthropist. An influential figure in world music, he rose to prominence in  following the release of his single ""Locked Up"" (featuring Styles P). Styled in hip-hop, it preceded the release of his debut studio album Trouble (), which became his commercial breakthrough and spawned the R&B-styled follow-up, ""Lonely"" the following year. His second album, Konvicted (), was met with continued success and was nominated for Best Contemporary R&B Album at the th Annual Grammy Awards, while its lead singles, ""I Wanna Love You"" (featuring Snoop Dogg) and ""Smack That"" (featuring Eminem), both received nominations for Best Rap/Sung Collaboration. The songs simultaneously peaked at numbers one and two on the Billboard Hot , respectively, along with two of his singles released the following year: ""Don't Matter"" and his guest performance on Gwen Stefani's ""The Sweet Escape""; this made Akon the first solo artist to concurrently hold the top two positions on the chart twice. His third album, Freedom (), was supported by the top ten single, ""Right Now (Na Na Na)"", as well as the top  singles ""I'm So Paid"" (featuring Lil Wayne and Jeezy) and ""Beautiful"" (featuring Colby O'Donis and Kardinal Offishall). His fourth album, El Negreeto (), explored reggaeton and Latin music, while his fifth album, Akonda (also ), explored Afrobeats; both of which failed to chart. Along with his solo career, Akon has guest performed on  Billboard Hot  entries for other artists—such activity earned him two additional Grammy Award nominations. Akon founded the record labels Konvict Muzik in  and KonLive Distribution in , through which he has signed commercially successful acts including Lady Gaga, T-Pain, R. City, Kardinal Offishall, Jeffree Star and French Montana, among others. In addition, he holds ",Akon | 1973 births | Living people | 21st-century African-American male singers | 21st-century American rappers,2025-06-22 19:38:02
Ancient Egypt,https://en.wikipedia.org/wiki/Ancient_Egypt,"Ancient Egypt was a cradle of civilization concentrated along the lower reaches of the Nile River in Northeast Africa. It emerged from prehistoric Egypt around  BC (according to conventional Egyptian chronology), when Upper and Lower Egypt were amalgamated by Menes, who is believed by the majority of Egyptologists to have been the same person as Narmer. The history of ancient Egypt unfolded as a series of stable kingdoms interspersed by the ""Intermediate Periods"" of relative instability. These stable kingdoms existed in one of three periods: the Old Kingdom of the Early Bronze Age; the Middle Kingdom of the Middle Bronze Age; or the New Kingdom of the Late Bronze Age. The pinnacle of ancient Egyptian power was achieved during the New Kingdom, which extended its rule to much of Nubia and a considerable portion of the Levant. After this period, Egypt entered an era of slow decline. Over the course of its history, it was invaded or conquered by a number of foreign civilizations, including the Hyksos, the Kushites, the Assyrians, the Persians, and, most notably, the Greeks and then the Romans. The end of ancient Egypt is variously defined as occurring with the end of the Late Period during the Wars of Alexander the Great in  BC or with the end of the Greek-ruled Ptolemaic Kingdom during the Roman conquest of Egypt in  BC. In AD , the Arab conquest of Egypt brought an end to the region's millennium-long Greco-Roman period. The success of ancient Egyptian civilization came partly from its ability to adapt to the Nile's conditions for agriculture. The predictable flooding of the Nile and controlled irrigation of its fertile valley produced surplus crops, which supported a more dense population, and thereby substantial social and cultural development. With resources to spare, the administration sponsored the mineral exploitation of the valley and its surrounding desert regions, the early development of an independent writing system, the organization of collective constructi",Ancient Egypt | Bronze Age civilizations | Cradle of civilization | Former empires in Africa | Former empires in Asia,2025-06-22 19:38:04
Kingdom of Kush,https://en.wikipedia.org/wiki/Kingdom_of_Kush,"The Kingdom of Kush (/kʊʃ, kʌʃ/; Egyptian: 𓎡𓄿𓈙𓈉 kꜣš, Assyrian:  Kûsi, in LXX Χους or Αἰθιοπία; Coptic: ⲉϭⲱϣ Ecōš; Hebrew: כּוּשׁ Kūš), also known as the Kushite Empire, or simply Kush, was an ancient kingdom in Nubia, centered along the Nile Valley in what is now northern Sudan and southern Egypt. The region of Nubia was an early cradle of civilization, producing several complex societies that engaged in trade and industry. The city-state of Kerma emerged as the dominant political force between  and  BC, controlling the Nile Valley between the first and fourth cataracts, an area as large as Egypt. The Egyptians were the first to identify Kerma as ""Kush"" probably from the indigenous ethnonym ""Kasu"", over the next several centuries the two civilizations engaged in intermittent warfare, trade, and cultural exchange. Much of Nubia came under Egyptian rule during the New Kingdom period (– BC). Following Egypt's disintegration amid the Late Bronze Age collapse, the Kushites reestablished a kingdom in Napata (now modern Karima, Sudan). Though Kush had developed many cultural affinities with Egypt, such as the veneration of Amun, and the royal families of both kingdoms occasionally intermarried, Kushite culture, language and ethnicity was distinct; Egyptian art distinguished the people of Kush by their dress, appearance, and even method of transportation. In the th century BC, King Kashta (""the Kushite"") peacefully became King of Upper Egypt, while his daughter, Amenirdis, was appointed as Divine Adoratrice of Amun in Thebes. His successor Piye invaded Lower Egypt, establishing the Kushite-ruled Twenty-fifth Dynasty. Piye's daughter, Shepenupet II, was also appointed Divine Adoratrice of Amun. The monarchs of Kush ruled Egypt for over a century until the Assyrian conquest, being dethroned by the Assyrian kings Esarhaddon and Ashurbanipal in the mid-seventh century BC. Following the severing of ties with Egypt, the Kushite imperial capital was located at Meroë, during which ",Kingdom of Kush | States and territories disestablished in the 4th century | States and territories established in the 11th century BC | 350s disestablishments | Roman client kingdoms,2025-06-22 19:38:05
Nubia,https://en.wikipedia.org/wiki/Nubia,"Nubia (/ˈnjuːbiə/, Nobiin: Nobīn, Arabic: النُوبَة, romanized: an-Nūba) is a region along the Nile river encompassing the area between the confluence of the Blue and White Niles (in Khartoum in central Sudan), and the first cataract of the Nile (south of Aswan in southern Egypt) or more strictly, Al Dabbah. It was the seat of one of the earliest civilizations of ancient Africa, the Kerma culture, which lasted from around  BC until its conquest by the New Kingdom of Egypt under Pharaoh Thutmose I around  BC, whose heirs ruled most of Nubia for the next  years. Nubia was home to several empires, most prominently the Kingdom of Kush, which conquered Egypt in the eighth century BC during the reign of Piye and ruled the country as its th Dynasty. From the rd century BC to rd century AD, northern Nubia was invaded and annexed to Egypt, ruled by the Greeks and Romans. This territory was known in the Greco-Roman world as Dodekaschoinos. Kush's collapse in the fourth century AD was preceded by an invasion from the Ethiopian Kingdom of Aksum and the rise of three Christian kingdoms: Nobatia, Makuria and Alodia. Makuria and Alodia lasted for roughly a millennium. Their eventual decline started not only the partition of Nubia, which was split into the northern half conquered by the Ottomans and the southern half by the Sennar sultanate, in the sixteenth century, but also a rapid Islamization and partial Arabization of the Nubian people. Nubia was reunited with the Khedivate of Egypt in the nineteenth century. Today, the region of Nubia is split between Egypt and Sudan. The primarily archaeological science dealing with ancient Nubia is called Nubiology. Historically, the people of Nubia spoke at least two varieties of Nubian languages, a subfamily that includes Nobiin (the descendant of Old Nubian), Dongolawi, Midob and several related varieties in the northern part of the Nuba Mountains in South Kordofan. The Birgid language was spoken north of Nyala in Darfur, but became extin",Nubia | History of Nubia | Ancient peoples | Historical regions | Ancient Greek geography of East Africa,2025-06-22 19:38:06
African empires,https://en.wikipedia.org/wiki/African_empires,"There were many kingdoms and empires in all regions of the continent of Africa throughout history. A kingdom is a state with a king or queen as its head. An empire is a political unit made up of several territories, military outposts, and peoples, ""usually created by conquest, and divided between a dominant centre and subordinate peripheries"". In Africa states emerged in a process covering many generations and centuries. Most states were created through conquest or the borrowing and assimilation of ideas and institutions, while some developed through internal, largely isolated development. Economic development ""gave rise to a perceived need for centralized institutions and 'territorial' leadership that transcended older bonds of kinship and community"". The politicoreligious struggle between the people and the king sometimes saw the people victorious and the establishment of sacred kings with little political power (termed ""adverse sacralisation""), contrasted with divine kings equated to gods. Kings and queens used both 'instrumental power', the employment of direct influence to achieve a desired outcome, and 'creative power', the use of ritual and mythology.a: – Despite this, popular understanding often claims that the continent lacked large states or meaningful complex political organisation. Whether rooted in ignorance, Eurocentrism, or racism, famous historians such as Hugh Trevor-Roper have argued that African history is not characterised by state formation or hierarchical structures. In fact, the nature of political organisation varied greatly across the continent, from the expansive West Sudanic empires, to the sacral Congolese empires akin to confederations or commonwealths, and the immensely hierarchical kingdoms of the Great Lakes. The vast majority of states included in this list existed prior to the Scramble for Africa (c. –) when, driven by the Second Industrial Revolution, European powers rapidly invaded, conquered, and colonised Africa. While most stat",Africa-related lists | Countries in Africa | Countries in precolonial Africa | Former countries in Africa | Former kingdoms,2025-06-22 19:38:07
Great Zimbabwe,https://en.wikipedia.org/wiki/Great_Zimbabwe,"Great Zimbabwe was a city in the south-eastern hills of the modern country of Zimbabwe, near Masvingo. It was settled from  AD, and served as the capital of the Kingdom of Great Zimbabwe from the th century. It is the largest stone structure in precolonial Southern Africa. Major construction on the city began in the th century until the th century, and it was abandoned in the th or th century. The edifices were erected by ancestors of the Shona people, currently located in Zimbabwe and nearby countries. The stone city spans an area of . square kilometres (. sq mi) and could have housed up to , people at its peak, giving it a population density of approximately , inhabitants per square kilometre (,/sq mi). The Zimbabwe state centred on it likely covered , km (, sq mi). It is recognised as a World Heritage Site by UNESCO. The site of Great Zimbabwe is composed of the Hill Complex, the Valley Complex, and the Great Enclosure (constructed at different times), and contained area for commoner housing within the perimeter walls. There is disagreement on the functions of the complexes among scholars. Some consider them to have been residences for the royals and elites at different periods of the site, while others infer them to have had separate functions. The Great Enclosure, with its  m ( ft) high dry stone walls (that is, constructed without mortar), was built during the th and th centuries, and likely served as the royal residence, with demarcated public spaces for rituals. The earliest document mentioning the Great Zimbabwe ruins was in  by Vicente Pegado, captain of the Portuguese garrison of Sofala on the coast of modern-day Mozambique, who recorded it as Symbaoe. The first confirmed visits by Europeans were in the late th century, with investigations of the site starting in . Great Zimbabwe and surrounding sites were looted by European antiquarians between the s and s. Some later studies of the monument were controversial, as the white government of Rhodesia pressur",Great Zimbabwe | Populated places established in the 11th century | Populated places disestablished in the 15th century | 1450s disestablishments | 1867 archaeological discoveries,2025-06-22 19:38:08
Kingdom of Aksum,https://en.wikipedia.org/wiki/Kingdom_of_Aksum,"The Kingdom of Aksum,note a or the Aksumite Empire,b was a kingdom in East Africa and South Arabia from classical antiquity to the Middle Ages, based in what is now northern Ethiopia and Eritrea, and spanning present-day Djibouti and Sudan. Emerging from the earlier Dʿmt civilization, the kingdom was founded in the first century. The city of Axum served as the kingdom's capital for many centuries until it relocated to Kubar in the ninth century due to declining trade connections and recurring invasions. The Kingdom of Aksum was considered one of the four great powers of the third century by the Persian prophet Mani, alongside Persia, Rome, and China. Aksum continued to expand under the reign of Gedara (c. –), who was the first king to be involved in South Arabian affairs. His reign resulted in the control of much of western Yemen, such as the Tihama, Najran, al-Ma'afir, Zafar (until c. ), and parts of Hashid territory around Hamir in the northern highlands until a joint Himyarite-Sabean alliance pushed them out. Aksum-Himyar conflicts persisted throughout the third century. During the reign of Endubis (–), Aksum began minting coins that have been excavated as far away as Caesarea and southern India. As the kingdom became a major power on the trade route between Rome and India and gained a monopoly of Indian Ocean trade, it entered the Greco-Roman cultural sphere. Due to its ties with the Greco-Roman world, Aksum adopted Christianity as its state religion in the mid-fourth century under Ezana (s – c. ). Following their Christianization, the Aksumites ceased construction of steles. The kingdom continued to expand throughout late antiquity, conquering Kush under Ezana in  for a short period of time and inheriting from it the Greek exonym ""Ethiopia"". Aksumite dominance in the Red Sea culminated during the reign of Kaleb of Axum (–), who, at the behest of the Byzantine emperor Justin I, invaded the Himyarite Kingdom in Yemen in order to end the persecution of Christians ",Kingdom of Aksum | Former empires in Africa | Former monarchies of Africa | Political history of Eritrea | Countries in ancient Africa,2025-06-22 19:38:09
