source,url,title,search_term,content,categories,key_dates,sections,infobox,content_length,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/Soul_food,Soul food,African American cuisine soul food,"Soul food is the ethnic cuisine of African Americans. Originating in the American South from the cuisines of enslaved Africans transported from Africa through the Atlantic slave trade, soul food is closely associated with the cuisine of the Southern United States. The expression ""soul food"" originated in the mid-1960s when ""soul"" was a common word used to describe African-American culture. Soul food uses cooking techniques and ingredients from West African, Central African, Western European, and Indigenous cuisine of the Americas. The cuisine was initially denigrated as low quality and belittled because of its origin. It was seen as low-class food, and African Americans in the North looked down on their Black Southern compatriots who preferred soul food (see the Great Migration). The concept evolved from describing the food of slaves in the South, to being taken up as a primary source of pride in the African American community even in the North, such as in New York City, Chicago and Detroit. Soul food historian Adrian Miller said the difference between soul food and Southern food is that soul food is intensely seasoned and uses a variety of meats to add flavor to food and adds a variety of spicy and savory sauces. These spicy and savory sauces add robust flavor. This method of preparation was influenced by West African cuisine where West Africans create sauces to add flavor and spice to their food. Black Americans also add sugar to make cornbread, while ""white southerners say when you put sugar in corn bread, it becomes cake"". Bob Jeffries, the author of Soul Food Cookbook, said the difference between soul food and Southern food is: ""While all soul food is Southern food, not all Southern food is soul. Soul food cooking is an example of how really good Southern [African-American] cooks cooked with what they had available to them."" Impoverished White and Black people in the South cooked many of the same dishes stemming from Southern cooking traditions, but styles of preparation sometimes varied. Certain techniques popular in soul and other Southern cuisines (i.e., frying meat and using all parts of the animal for consumption) are shared with cultures all over the world. The earliest use of the word ""soul food"" to describe a type of cuisine is found in a 1909 published memoir of a former slave named Thomas L. Johnson. Johnson described a church service where the congregation was served food. He wrote: ""There are some, when preaching, only preach three-quarter",Soul food | African-American cuisine | African-American cultural history | American cuisine | Cuisine by ethnicity | Cuisine of the Southern United States | Culture of the Southern United States | Native American cuisine of the Southeastern Woodlands,"1965, 1909",Etymology | History | Transatlantic slave trade | Slavery | Foodways on the Underground Railroad | Slave recipes | Barbecue traditions | Emancipation,,3470,2025-06-22 19:41:28
Wikipedia,https://en.wikipedia.org/wiki/List_of_soul_foods_and_dishes,List of soul foods and dishes,African American cuisine soul food,"This is a list of soul foods and dishes. Soul food is the ethnic cuisine of African Americans that originated in the Southern United States during the era of slavery. It uses a variety of ingredients and cooking styles, some of which came from West African and Central African cuisine brought over by enslaved Africans while others originated in Europe. Some are indigenous to the Americas as well, borrowed from Native American cuisine. The foods from West-Central Africa brought to North America during the slave trade were guinea pepper, gherkin, sesame seeds, kola nuts, eggplant, watermelon, rice, cantaloupe, millet, okra, black-eyed peas, yams, and legumes such as kidney beans. These crops became a staple in Southern cuisine in the United States. Soul food dishes were created by enslaved Black Americans using minimal ingredients because slaveholders fed their slaves. Historian John Blassingame's book published in 1972, The Slave Community: Plantation Life in the Antebellum South, was researched from a collection of slave narratives. According to Blassingame's research, some enslaved people received the bare minimum in food and had to supplement their diets by hunting, fishing, and foraging for food. From their limited food sources enslaved African Americans created their meals and new dishes called soul food. Many of the meals prepared by enslaved people were later published in African-American cookbooks after the American Civil war. The dishes the enslaved and their descendants created influenced American southern cuisine. An article from the Alabama News Center explains: ""In recent years, culinary historians and writers have credited Africans with introducing many new cooking techniques (for example, one-pot cooking, deep-fat frying and using smoked meats as seasoning) as well as dishes to the New World. They created gumbo, an adaptation of a traditional west African stew; stewed tomatoes and okra; corn cakes, shrimp and grits; hoppin’ John, jambalaya, red rice and other rice-based dishes; collards and other greens; chow-chow and other pickled vegetables; boiled peanuts and peanut soup; and chitlins and cracklings, among other foods."" During slavery, pork was a main source of meat for enslaved Black Americans. Slaveholders only provided their slaves the parts of the pig they did not eat such as innards (chitlins), pigs' feet, pigs' ears, and pigs' tail. To supplement their diets, enslaved people hunted and fished for food. Some meat soul foods and dishes ",American cuisine-related lists | Cuisine of the Southern United States | Soul food,1972,"Meat dishes | Vegetables, legumes, seeds and fruits | Breads and grains | Desserts | Regional soul food | See also | References | Bibliography",,3479,2025-06-22 19:41:29
Wikipedia,https://en.wikipedia.org/wiki/Soul_Food_(film),Soul Food (film),African American cuisine soul food,"Soul Food is a 1997 American comedy-drama film written and directed by George Tillman Jr. in his major studio debut. Featuring an ensemble cast, the film stars Vanessa Williams, Vivica A. Fox, Nia Long, Michael Beach, Mekhi Phifer, Jeffrey D. Sams, Irma P. Hall, Gina Ravera and Brandon Hammond. The story centers on the trials of an extended Black American family, held together by longstanding family traditions which begin to fade as serious problems take center stage. Tillman based the family in the film on his own and Soul Food was widely acclaimed for presenting a more positive image of African-Americans than is typically seen in Hollywood films. In 2000, Showtime premiered a one-hour television series based upon the film. In 2015, it was announced that 20th Century Fox is planning a sequel for the film called More Soul Food, written by Tillman. Soul Food, told through the eyes of 11-year-old Ahmad, follows the trials of the Joseph family, a close-knit Chicago family that gets together to have Sunday dinner every week, with plenty of soul food to go around. Mother (Big Mama) Joe has three daughters, who each have had varying success in life: oldest daughter Teri has become a successful lawyer but has a strained relationship with younger sister Maxine, Ahmad's mother, who stole and eventually married Teri's former boyfriend, Kenny. Teri is currently married to Miles, a lawyer who quits his job to pursue his dream of being an R&B musician, which Teri doesn't support. Youngest daughter Robin —nicknamed ""Bird""—has just opened a barbershop/beauty parlor, and married Lem, an ex-convict. Life becomes complicated when Mother Joe, the diabetic but wise and caring matriarch of the family and the glue that holds it together, suffers a debilitating stroke during an operation to amputate her leg and slips into a coma, dying shortly after sharing a last word of advice with Ahmad when she awakens five weeks later. Without her guidance, the family begins to fall apart in the interim. Teri takes in her troubled cousin Faith, who bonds with Miles over a love of the arts. The two are caught having sex by Teri, which later leads to a near-violent confrontation at Kenny and Maxine's anniversary party when she furiously comes after the two with a knife. Meanwhile, Lem gets fired from his job after being caught lying about his criminal record and cannot find a new one for the same reason, so Bird makes an uneasy deal with her former boyfriend Simuel St. James to get Lem a job.",1997 films | Films set in Chicago | Films shot in Chicago | African-American comedy-drama films | English-language comedy-drama films | 20th Century Fox films | Films adapted into television shows | Films directed by George Tillman Jr.,"2015, 2000, 1997",Plot | Main cast | Production | Soundtrack | Reception | Awards and nominations | See also | Notes,"Directed by: George Tillman Jr. | Written by: George Tillman Jr. | Produced by: Tracey E. EdmondsRobert Teitel | Starring: Vanessa Williams
Vivica A. Fox
Nia Long
Michael Beach
Mekhi Phifer
Jeffrey D. Sams
Irma P. Hall
Gina Ravera
Brandon Hammond | Cinematography: Paul Elliott | Edited by: John Carter",2894,2025-06-22 19:41:30
Wikipedia,https://en.wikipedia.org/wiki/Cuisine_of_the_Southern_United_States,Cuisine of the Southern United States,African American cuisine soul food,"The cuisine of the Southern United States encompasses diverse food traditions of several subregions, including cuisine of Southeastern Native American tribes, Tidewater, Appalachian, Ozarks, Lowcountry, Cajun, Creole, African American cuisine and Floribbean, Spanish, French, British, Ulster-Scots and German cuisine. In recent history, elements of Southern cuisine have spread to other parts of the United States, influencing other types of American cuisine. Many elements of Southern cooking—tomatoes, squash, corn (and its derivatives, such as hominy and grits), and deep-pit barbecuing—are borrowings from Indigenous peoples of the region (e.g., Cherokee, Caddo, Choctaw, and Seminole). From the Old World, European colonists introduced sugar, flour, milk, eggs, and livestock, along with a number of vegetables; meanwhile, enslaved West Africans trafficked to the North American colonies through the Atlantic slave trade introduced black-eyed peas, okra, eggplant, sesame, sorghum, melons, and various spices. Rice also became prominent in many dishes in the Lowcountry region of South Carolina because the enslaved people who settled the region (now known as the Gullah people), were already quite familiar with the crop. Many Southern foodways are local adaptations of Old World traditions. In Appalachia, many Southern dishes are Scottish or British Border in origin. For instance, the South's fondness for a full breakfast derives from the British full breakfast or fry-up. Pork, once considered informally taboo in Scotland, has taken the place of lamb and mutton. Instead of chopped oats, Southerners have traditionally eaten grits, a porridge normally made from coarsely ground, nixtamalized maize, also known as hominy. Certain regions have been infused with different Old World traditions. Louisiana Creole cuisine draws upon vernacular French cuisine, West African cuisine, and Spanish cuisine; Floribbean cuisine is Spanish-based with obvious Caribbean influences; and Tex-Mex has considerable Mexican and Indigenous influences with its abundant use of New World vegetables (e.g. corn, tomatoes, squash, and peppers) and barbecued meat. In Southern Louisiana, West African influences have persisted in dishes such as gumbo, jambalaya, and red beans and rice. Native Americans utilized a number of cooking methods in early American cuisine that have been blended with the methods of early Europeans to form the basis of what is now Southern cuisine. Prior to the 1600s, native peoples ",Cuisine of the Southern United States | American cuisine by region | Southern United States,,History | Indigenous cuisine before colonization | Colonial era 1513 to 1776 and Antebellum era 1776 to 1861 | American Civil War (1861 to 1865) | Post antebellum era | Other cultural influences | Southern food in restaurants | Traditional Southern dishes,,2655,2025-06-22 19:41:31
Wikipedia,https://en.wikipedia.org/wiki/American_cuisine,American cuisine,African American cuisine soul food,"American cuisine consists of the cooking style and traditional dishes prepared in the United States, an especially diverse culture in a large country with a long history of immigration. It principally derives from a mixing of European cuisine, Native American and Alaskan cuisine, and African American cuisine, known as soul food. The Northeast, Midwest, Mid-Atlantic, South, West, Southwest, and insular areas all have distinctive elements, reflecting local food resources, local demographics, and local innovation. These developments have also given some states and cities distinctive elements. Hawaiian cuisine also reflects substantial influence from East Asian cuisine and its native Polynesian cuisine. Proximity and territorial expansion has also generated substantial influence from Latin American cuisine, including new forms like Tex-Mex and New Mexican cuisine. Modern mass media and global immigration have brought influences from many other cultures, and some elements of American food culture have become global exports. Local ethnic and religious traditions include Cajun, Louisiana Creole, Pennsylvania Dutch, Mormon, Tlingit, Chinese American, German American, Italian American, Greek American, Jewish American, and Mexican American cuisines. American cooking dates back to the traditions of the Native Americans, whose diet included a mix of farmed and hunted food, and varied widely across the continent. The Colonial period created a mix of new world and Old World cookery, and brought with it new crops and livestock. During the early 19th century, cooking was based mostly on what the agrarian population could grow, hunt, or raise on their land. With an increasing influx of immigrants, and a move to city life, American food further diversified in the later part of the 19th century. The 20th century saw a revolution in cooking as new technologies, the World Wars, a scientific understanding of food, and continued immigration combined to create a wide range of new foods. This has allowed for the current rich diversity in food dishes throughout the country. The popularity of the automobile in the 20th century also influenced American eating habits in the form of drive-in and drive-through restaurants. American cuisine includes milkshakes, barbecue, and a wide range of fried foods. Many quintessential American dishes are unique takes on food originally from other culinary traditions, including pizza, hot dogs, and Tex-Mex. Regional cooking includes a range of fish d",American cuisine | Cultural history of the United States | North American cuisine,1600,History | Native Americans origins: American cuisine before 1600 | Colonial period | Post-colonial cuisine | 20th century | Ethnic influences | New American | 21st century,,3441,2025-06-22 19:41:32
Wikipedia,https://en.wikipedia.org/wiki/Afrofuturism,Afrofuturism,Afrofuturism movement,"Afrofuturism is a cultural aesthetic, philosophy of science, and history that explores the intersection of the African diaspora culture with science and technology. It addresses themes and concerns of the African diaspora through technoculture and speculative fiction, encompassing a range of media and artists with a shared interest in envisioning black futures that stem from Afro-diasporic experiences. While Afrofuturism is most commonly associated with science fiction, it can also encompass other speculative genres such as Afro-fantasy, fantasy, alternate history and magic realism, and can also be found in music. The term was coined by American cultural critic Mark Dery in 1993 and explored in the late 1990s through conversations led by Alondra Nelson. Ytasha L. Womack, writer of Afrofuturism: The World of Black Sci-Fi and Fantasy Culture, defines it as ""an intersection of imagination, technology, the future and liberation"". She also follows up with a quote by the curator Ingrid LaFleur, who defines it as ""a way of imagining possible futures through a black cultural lens"". Kathy Brown paraphrases Bennett Capers' 2019 work in stating that Afrofuturism is about ""forward thinking as well as backward thinking, while having a distressing past, a distressing present, but still looking forward to thriving in the future"". Others have said that the genre is ""fluid and malleable"", bringing together technology, African culture, and ""other influences"". Seminal Afrofuturistic works include the novels of Samuel R. Delany and Octavia Butler; the canvases of Jean-Michel Basquiat and Angelbert Metoyer, and the photography of Renée Cox; the cosmic avant-garde jazz of Sun Ra and his Arkestra; the explicitly extraterrestrial mythos of Parliament-Funkadelic; Earth, Wind and Fire with their overt Afrocentric symbolism, bold performance attire and hopeful visions of Black sovereignty; Herbie Hancock's partnership with Robert Springett and other visual artists, while developing his use of synthesizers. The Jonzun Crew, Warp 9, Deltron 3030, Kool Keith, and the Marvel Comics superhero Black Panther can also be cited.",Afrofuturism | 1993 neologisms | Art movements | African-American culture | Science fiction genres | Futurism by region | African diaspora literature,"1993, 2019",History | Mid- to late 20th-century development in music | Cultural criticism in the 1990s | 21st century | Literature and comics | Art | Museum and gallery exhibitions | Themes,,2130,2025-06-22 19:40:25
Wikipedia,https://en.wikipedia.org/wiki/Rucyl,Rucyl,Afrofuturism movement,"Rucyl is a new media and sound artist, singer, musician, and producer. Her interests involve experimentation and process as performance, time-based analog effects systems, and using sound to represent concepts that are non-tactile (time, natural forces, emotion, identity, and physics). Her earlier experimental works incorporated vocal improvisation and computer generated algorithmic music in tandem with generated visual projections, using Max MSP and VJ software. Rucyl improvises during her live performances using MIDI controllers, loopers, diy software and hardware, and effects processors. Rucyl was an original member of underground hip-hop group The Goats (Ruffhouse/Columbia Records) from 1992-1994. The Goats toured and performed internationally with bands like Bad Brains, Fishbone, and The Beastie Boys. Her first interactive pieces included the Chakakhantroller, a wearable interface MIDI controller for audio and visual performance, and installation Watch What You Are, in collaboration with Justin Downs, which was featured as part of Eyebeam Interactive Art Gallery's ""Double Take"" exhibition in July 2008. Also in 2008, Rucyl co-founded Saturn Never Sleeps (SNS), a futuretronic label and audiovisual group created during the resurgence of the contemporary Afrofuturism movement, with DJ/producer King Britt. Saturn Never Sleeps was founded on the principles of process as performance, inspired greatly by the media and music of the great experimental jazz musician, Sun Ra. These collaborative, audiovisual live performances were featured at The Institute of Contemporary Art, Philadelphia, Painted Bride Art Center, The River To River Festival at the World Financial Center in New York City, Art Basel in Miami, and Moogfest in Asheville, NC. Rucyl traveled internationally with SNS to Istanbul, Berlin, Madrid, Switzerland (Stadtmusik Festival) and Tokyo (Micro-cosmos). Curated performances in Philadelphia and Brooklyn included artists Taylor McFerrin, Ras G, Sarah White, Teebs, Ben Neill, Flying Lotus, Stef Eye, Shabazz Palaces, and Tokimonsta. In June 2010, the Leeway Foundation featured Rucyl on a ""Women in Indie Music"" panel where she discussed the re-emerging lo-fi/DIY aesthetic in music, digital distribution and the place of activism within her art. In spring 2011, Saturn Never Sleeps opened for TV on the Radio, and appeared with the Sun Ra Arkestra at Eyebeam's event ""Past Futures."" SNS released a series of works and podcasts from under-the-radar POC artists ",Living people | Artists from Philadelphia | Musicians from Philadelphia | Musicians from Brooklyn | African-American artists | 21st-century African-American people,"2008, 2010, 2011, 1994, 2009, 1992",Biography | Discography | Education | Residencies | References,"Born: Rucyl MillsPhiladelphia, PA | Nationality: Trinidadian and German-American | Style: sound art, experimental bass, avant R&B, music technology, interactive performance | Website: http://rucyl.com",2962,2025-06-22 19:40:26
Wikipedia,https://en.wikipedia.org/wiki/Janelle_Monáe,Janelle Monáe,Afrofuturism movement,"Janelle Monáe Robinson (/dʒəˈnɛl moʊˈneɪ/ jə-NEL moh-NAY; born December 1, 1985) is an American singer, songwriter, rapper and actress. She[a] has received ten Grammy Award nominations, and is the recipient of a Screen Actors Guild Award and a Children's and Family Emmy Award. Monáe has also been honored with the ASCAP Vanguard Award; as well as the Rising Star Award (2015) and the Trailblazer of the Year Award (2018) from Billboard Women in Music. Monáe began her musical career in 2003 with the release of her demo album, The Audition. She signed with Bad Boy Records to release her debut extended play (EP), Metropolis: Suite I (The Chase) (2007). It received critical acclaim and narrowly entered the Billboard 200. She signed a joint venture with Atlantic Records to release her debut studio album, The ArchAndroid (2010), which peaked at number 17 on the chart. The following year, she guest performed on fun.'s 2011 single ""We Are Young,"" which received diamond certification by the Recording Industry Association of America (RIAA) and peaked atop the Billboard Hot 100. Monáe's second studio album, The Electric Lady (2013), debuted at number five on the Billboard 200. Monáe's third studio album, Dirty Computer (2018)—also a concept album—was released to widespread critical acclaim; it was named best album of the year by several publications. The album peaked within the top ten of the Billboard 200, and was accompanied by both Monae's Dirty Computer Tour and the science fiction film of the same name. In 2022, she wrote the cyberpunk story collection, The Memory Librarian: And Other Stories of Dirty Computer, based on the album. Her fourth studio album, The Age of Pleasure (2023) was nominated for Album of the Year at the 66th Annual Grammy Awards, becoming her second nomination in the category as a lead artist. Monáe has also ventured into acting, first gaining attention for starring in the 2016 films Moonlight and Hidden Figures. For portraying engineer Mary Jackson in the latter, she was nominated for the Critics' Choice Movie Award for Best Supporting Actress. She has since starred in the films Harriet (2019) and Glass Onion (2022), and the television series Homecoming (2020). In 2022, she won a Children's and Family Emmy Award for Outstanding Short Form Program for her role in the TV series We the People. She launched her record label, Wondaland Arts Society in a joint venture with Epic Records in 2015, and has signed artists including Jidenna, Roman GianArt",1985 births | Living people | 21st-century African-American singers | 21st-century American singers | 21st-century American actors | 21st-century American LGBTQ people | 21st-century women singers | Activists from California,"1985, 2010, 2011, 2018, 2003, 2022, 2015, 2007, 2013","Early life | Career | Career beginnings (2005) | Metropolis and The ArchAndroid (2007–2011) | The Electric Lady and other projects (2012–2014) | The Eephus, Moonlight, and Hidden Figures (2015–2016) | Dirty Computer and other projects (2017–2022) | The Age of Pleasure (2023)","Birth name: Janelle Monáe Robinson | Born: (1985-12-01) December 1, 1985 (age 39)Kansas City, Kansas, U.S. | Genres: R&B[1][2][3]
pop[3]
funk
psychedelic soul[4]
hip hop[3]
progressive soul[5]
Indie soul[6] | Occupations: Singersongwriterrapperactress | Discography: Janelle Monáe discography",2519,2025-06-22 19:40:27
Wikipedia,https://en.wikipedia.org/wiki/Sun_Ra,Sun Ra,Afrofuturism movement,"Le Sony'r Ra (born Herman Poole Blount, May 22, 1914 – May 30, 1993), better known as Sun Ra, was an American jazz composer, bandleader, piano and synthesizer player, and poet known for his experimental music, ""cosmic"" philosophy, prolific output, and theatrical performances. For much of his career, Ra led The Arkestra, an ensemble with an ever-changing name and flexible line-up. Born and raised in Alabama, Blount became involved in the Chicago jazz scene during the late 1940s. He soon abandoned his birth name, taking the name Le Sony'r Ra, shortened to Sun Ra (after Ra, the Egyptian god of the Sun). Claiming to be an alien from Saturn on a mission to preach peace, he developed a mythical persona and an idiosyncratic credo that made him a pioneer of Afrofuturism. Throughout his life he denied ties to his prior identity saying, ""Any name that I use other than Ra is a pseudonym."" His widely eclectic and avant-garde music echoed the entire history of jazz, from ragtime and early New Orleans hot jazz, to swing music, bebop, free jazz and fusion. His compositions ranged from keyboard solos to works for big bands of over 30 musicians, along with electronic excursions, songs, chants, percussion pieces, and anthems. From the mid-1950s until his death, Ra led the musical collective The Arkestra, which featured artists such as Marshall Allen, John Gilmore and June Tyson throughout its various iterations. Its performances often included dancers and musicians dressed in elaborate, futuristic costumes inspired by ancient Egyptian attire and the Space Age. Following Ra's retirement in 1992 due to illness, the band remained active as The Sun Ra Arkestra, and, as of 2024, continues performing under the leadership of veteran Ra sideman Marshall Allen. Though his mainstream success was limited, Ra was a prolific recording artist and frequent live performer, and remained influential throughout his life for his music and persona. He is now widely considered an innovator; among his distinctions are his pioneering work in free improvisation and modal jazz and his early use of electronic keyboards and synthesizers. Over his career, he recorded dozens of singles and over 100 full-length albums, comprising well over 1,000 songs, making him one of the most prolific recording artists of the 20th century.",Sun Ra | Sun Ra Arkestra members | 1914 births | 1993 deaths | 20th-century African-American male singers | 20th-century American male singers | 20th-century American singers | 20th-century American keyboardists,"1914, 1993, 2024, 1992",Biography | Early life | Early professional career and college | Trip to Saturn | New devotion to music (late 1930s) | Draft and wartime experiences | Chicago years (1945–1961) | New York years (1961–1968),"Birth name: Herman Poole Blount | Also known as: Le Sony'r Ra (legal name) | Born: (1914-05-22)May 22, 1914Birmingham, Alabama, U.S. | Died: May 30, 1993(1993-05-30) (aged 79)Birmingham, Alabama, U.S. | Genres: Jazz
experimental
space[1]
avant-garde",2318,2025-06-22 19:40:28
Wikipedia,https://en.wikipedia.org/wiki/P-Funk_mythology,P-Funk mythology,Afrofuturism movement,"The P-Funk mythology is a group of recurring characters, themes, and ideas primarily contained in the output of George Clinton's bands Parliament and Funkadelic. This ""funkology"" was outlined in album liner notes and song lyrics, in addition to album artwork, costumes, advertisements, and stage banter. P-Funk's ""Dr. Seussian afrofunk"" is often cited as a critical component of the Afrofuturism movement. George Clinton's space-age mythology began to emerge with the release of Funkadelic's self-titled debut album in 1970. Later that same year, Parliament released their debut album Osmium. Clinton's cosmology was largely absent from the latter release, and it took longer to blossom in Parliament's output. Generally speaking, Parliament was a dance-oriented band, while Funkadelic was more serious and psychedelic. The two bands shared personnel, and Clinton blurred the lines between them both by referring to his touring band as ""A Parliafunkadelicment Thang"". The shorthand for this conglomerate became ""P-Funk"", and it grew to include offshoots like P-Funk All Stars, Bootsy's Rubber Band, Parlet, The Brides of Funkenstein, The Horny Horns, and solo albums by Eddie Hazel and Bernie Worrell. By the mid 70s, P-Funk was a massively successful group of acts. A ranking of the top live acts of 1977 included three bands from the conglomerate in the top fifteen slots. After the bands' earlier releases, Clinton began to feel that something more conceptual was in order, and he expressed deep admiration for The Who's Tommy and The Beatles' Sgt. Pepper's Lonely Hearts Club Band as ""the classiest two pieces of music I had ever seen where everything related to each other. So I wanted to do one of those kinds of things."" Clinton settled on the extraterrestrial concept because of its originality, saying, ""Put niggas in places that you don't usually see 'em. And nobody had seen 'em on no spaceships! Once you seen 'em sittin' on spaceships like it was Cadillac then it was funny, cool."" The primary author of the P-Funk mythology aside from George Clinton was Pedro Bell, who illustrated the liners for many of P-Funk's releases. Bell's felt-tip illustrations included prolonged essays that expanded the mythos of Clinton's lyrics with a complementary syntax that ""forged a new realm of black language"". Though Bell coined terms like ""Rumpasaurus"" and made extensive contributions to the P-Funk mythology, his work has been largely overlooked.",P-Funk | Concept album series | Fictional characters invented for recorded music | Afrofuturism | Mythopoeia,"1970, 1977",Background | Funkadelic | Parliament | Mothership Connection | Funkentelechy Vs. the Placebo Syndrome | Later albums | Stage show | P-Funk mythology in popular culture,,2451,2025-06-22 19:40:29
