source,url,title,search_term,content,categories,key_dates,sections,infobox,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/Nelson_Mandela,Nelson Mandela,Nelson Mandela,"Nelson Rolihlahla Mandela (/mænˈdɛlə/ man-DEL-ə, Xhosa: [xolíɬaɬa mandɛ̂ːla]; born Rolihlahla Mandela; 18 July 1918 – 5 December 2013) was a South African anti-apartheid activist and politician who served as the first president of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by fostering racial reconciliation. Ideologically an African nationalist and socialist, he served as the president of the African National Congress (ANC) party from 1991 to 1997. A Xhosa, Mandela was born into the Thembu royal family in Mvezo, South Africa. He studied law at the University of Fort Hare and the University of Witwatersrand before working as a lawyer in Johannesburg. There he became involved in anti-colonial and African nationalist politics, joining the ANC in 1943 and co-founding its Youth League in 1944. After the National Party's white-only government established apartheid, a system of racial segregation that privileged whites, Mandela and the ANC committed themselves to its overthrow. He was appointed president of the ANC's Transvaal branch, rising to prominence for his involvement in the 1952 Defiance Campaign and the 1955 Congress of the People. He was repeatedly arrested for seditious activities and was unsuccessfully prosecuted in the 1956 Treason Trial. Influenced by Marxism, he secretly joined the banned South African Communist Party (SACP). Although initially committed to non-violent protest, in association with the SACP he co-founded the militant uMkhonto we Sizwe in 1961 that led a sabotage campaign against the apartheid government. He was arrested and imprisoned in 1962, and, following the Rivonia Trial, was sentenced to life imprisonment for conspiring to overthrow the state. Mandela served 27 years in prison, split between Robben Island, Pollsmoor Prison, and Victor Verster Prison. Amid growing domestic ","Nelson Mandela, 1918 births, 2013 deaths, 20th-century Methodists, 20th-century philanthropists, 20th-century South African lawyers, 20th-century South African male writers, 21st-century Methodists, 21st-century South African philanthropists, 21st-century South African politicians","1918, 2013, 1994, 1999, 1991","Early life, Childhood: 1918–1934, Clarkebury, Healdtown, and Fort Hare: 1934–1940, Arriving in Johannesburg: 1941–1943, Early revolutionary activity",Deputy: Frederik Willem de Klerk(1994–1996)Thabo Mbeki(1994–1999) | Preceded by: Frederik Willem de Klerk (as State President) | Succeeded by: Thabo Mbeki,2025-06-22 19:27:16
Wikipedia,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,Martin Luther King Jr.,Martin Luther King Jr,"Martin Luther King Jr. (born Michael King Jr.; January 15, 1929 – April 4, 1968) was an American Baptist minister, civil rights activist and political philosopher who was a leader of the civil rights movement from 1955 until his assassination in 1968. He advanced civil rights for people of color in the United States through the use of nonviolent resistance and nonviolent civil disobedience against Jim Crow laws and other forms of legalized discrimination. A Black church leader, King participated in and led marches for the right to vote, desegregation, labor rights, and other civil rights. He oversaw the 1955 Montgomery bus boycott and became the first president of the Southern Christian Leadership Conference (SCLC). As president of the SCLC, he led the unsuccessful Albany Movement in Albany, Georgia, and helped organize nonviolent 1963 protests in Birmingham, Alabama. King was one of the leaders of the 1963 March on Washington, where he delivered his ""I Have a Dream"" speech on the steps of the Lincoln Memorial, and helped organize two of the three Selma to Montgomery marches during the 1965 Selma voting rights movement. The civil rights movement achieved pivotal legislative gains in the Civil Rights Act of 1964, the Voting Rights Act of 1965, and the Fair Housing Act of 1968. There were dramatic standoffs with segregationist authorities, who often responded violently. King was jailed several times. Federal Bureau of Investigation (FBI) director J. Edgar Hoover considered King a radical and made him an object of COINTELPRO from 1963. FBI agents investigated him for possible communist ties, spied on his personal life, and secretly recorded him. In 1964, the FBI mailed King a threatening anonymous letter, which he interpreted as an attempt to make him commit suicide. King won the 1964 Nobel Peace Prize for combating racial inequality through nonviolent resistance. In his final years, he expanded his focus to include opposition towards poverty and the Vietnam War. In 19","Martin Luther King Jr., 1929 births, 1968 deaths, 20th-century American male writers, 20th-century Baptist ministers from the United States, People murdered in 1968, African-American activists, Activists for African-American civil rights, Activists from Atlanta, Activists from Montgomery, Alabama","1929, 1968, 1955, 1968, 1955","Early life and education, Birth, Early childhood, Adolescence, Morehouse College","Preceded by: Position established | Succeeded by: Ralph Abernathy | Born: Michael King Jr.(1929-01-15)January 15, 1929Atlanta, Georgia, U.S.",2025-06-22 19:27:20
Wikipedia,https://en.wikipedia.org/wiki/Malcolm_X,Malcolm X,Malcolm X,"Malcolm X (born Malcolm Little, later el-Hajj Malik el-Shabazz; May 19, 1925 – February 21, 1965) was an African American revolutionary, Muslim minister and human rights activist who was a prominent figure during the civil rights movement until his assassination in 1965. A spokesman for the Nation of Islam (NOI) until 1964, after which he left the movement, he was a vocal advocate for Black empowerment and the promotion of Islam within the African American community. He is also a celebrated figure within African American and Muslim communities for his pursuit of racial justice. Malcolm spent his adolescence living in a series of foster homes and with various relatives, after his father's death and his mother's hospitalization. He committed various crimes, being sentenced to eight to ten years in prison in 1946 for larceny and burglary. In prison, he joined the Nation of Islam, adopting the name Malcolm X to symbolize his unknown African ancestral surname while discarding ""the white slavemaster name of 'Little'"", and after his parole in 1952, he quickly became one of the organization's most influential leaders. He was the public face of the organization for 12 years, advocating Black empowerment and separation of Black and White Americans, as well as criticizing Martin Luther King Jr. and the mainstream civil rights movement for its emphasis on non-violence and racial integration. Malcolm X also expressed pride in some of the Nation's social welfare achievements, such as its free drug rehabilitation program. From the 1950s onward, Malcolm X was subjected to surveillance by the Federal Bureau of Investigation (FBI). In the 1960s, Malcolm X began to grow disillusioned with the Nation of Islam, as well as with its leader, Elijah Muhammad. He subsequently embraced Sunni Islam and the civil rights movement after completing the Hajj to Mecca and became known as ""el-Hajj Malik el-Shabazz"", which roughly translates to ""The Pilgrim Malcolm the Patriarch"". After a brief period","Malcolm X, 1925 births, 1965 deaths, People murdered in 1965, 20th-century American male writers, 20th-century American memoirists, 20th-century Muslims, Activists for African-American civil rights, Activists from New York (state), African-American activists","1925, 1965, 1965, 1964, 1946","Early years, Childhood, Criminal career, Nation of Islam period, Prison","Born: Malcolm Little(1925-05-19)May 19, 1925Omaha, Nebraska, U.S. | Died: February 21, 1965(1965-02-21) (aged 39)Manhattan, New York City, U.S. | Cause of death: Assassination by gunshots | Resting place: Ferncliff Cemetery | Other names: Malik el-Shabazz (Arabic: مَالِك ٱلشَّبَازّ, romanized: Mālik ash-Shabāzz)Omowale (Yoruba: Omowale, lit. 'The son who has come back') | Occupations: Ministeractivist | Organizations: Nation of IslamMuslim Mosque, Inc.Organization of Afro-American Unity | Movement: Black nationalismPan-AfricanismIslamism",2025-06-22 19:27:23
Wikipedia,https://en.wikipedia.org/wiki/Marcus_Garvey,Marcus Garvey,Marcus Garvey,"Marcus Mosiah Garvey Jr. ONH (17 August 1887 – 10 June 1940) was a Jamaican political activist. He was the founder and first President-General of the Universal Negro Improvement Association and African Communities League (UNIA-ACL) (commonly known as UNIA), through which he declared himself Provisional President of Africa. Garvey was ideologically a black nationalist and Pan-Africanist. His ideas came to be known as Garveyism. Garvey was born into a moderately prosperous Afro-Jamaican family in Saint Ann's Bay and was apprenticed into the print trade as a teenager. Working in Kingston, he became involved in trade unionism. He later lived briefly in Costa Rica, Panama, and England. On returning to Jamaica, he founded the UNIA in 1914. In 1916, he moved to the United States and established a UNIA branch in New York City's Harlem district. Emphasising unity between Africans and the African diaspora, he campaigned for an end to European colonial rule in Africa and advocated the political unification of the continent. He envisioned a unified Africa as a one-party state, governed by himself, that would enact laws to ensure black racial purity. Although he never visited the continent, he was committed to the Back-to-Africa movement, arguing that part of the diaspora should migrate there. Garveyist ideas became increasingly popular, and the UNIA grew in membership. His black separatist views—and his relationship with white racists like the Ku Klux Klan (KKK) in the interest of advancing their shared goal of racial separatism—caused a division between Garvey and other prominent African-American civil rights activists such as W. E. B. Du Bois, who promoted racial integration. Believing that black people needed to be financially independent from white-dominated societies, Garvey launched various businesses in the U.S., including the Negro Factories Corporation and Negro World newspaper. In 1919, he became President of the Black Star Line shipping and passenger company, designe","1887 births, 1940 deaths, 20th-century criminals, 20th-century Jamaican businesspeople, 20th-century Jamaican journalists, African and Black nationalists, Alumni of Birkbeck, University of London, American Christian Zionists, American eugenicists, American fascists","1887, 1940, 1914, 1916, 1919","Early life, Childhood: 1887–1904, Early career in Kingston: 1905–1909, Travels abroad: 1910–1914, Organization of the UNIA","Born: Marcus Mosiah Garvey(1887-08-17)17 August 1887Saint Ann's Bay, Colony of Jamaica | Died: 10 June 1940(1940-06-10) (aged 52)London, England | Alma mater: Birkbeck, University of London | Occupation(s): Publisher, journalist, entrepreneur | Known for: Activism, black nationalism, Pan-Africanism | Spouses: Amy Ashwood
​ ​(m. 1919; div. 1922)​

Amy Jacques ​(m. 1922)​ | Children: 2 including Julius Garvey",2025-06-22 19:27:25
Wikipedia,https://en.wikipedia.org/wiki/Harriet_Tubman,Harriet Tubman,Harriet Tubman,"Harriet Tubman (born Araminta Ross, c. March 1822 – March 10, 1913) was an American abolitionist and social activist. After escaping slavery, Tubman made some 13 missions to rescue approximately 70 enslaved people, including her family and friends, using the network of antislavery activists and safe houses known collectively as the Underground Railroad. During the American Civil War, she served as an armed scout and spy for the Union Army. In her later years, Tubman was an activist in the movement for women's suffrage. Born into slavery in Dorchester County, Maryland, Tubman was beaten and whipped by enslavers as a child. Early in life, she suffered a traumatic head wound when an irate overseer threw a heavy metal weight, intending to hit another slave, but hit her instead. The injury caused dizziness, pain, and spells of hypersomnia, which occurred throughout her life. After her injury, Tubman began experiencing strange visions and vivid dreams, which she ascribed to premonitions from God. These experiences, combined with her Methodist upbringing, led her to become devoutly religious. In 1849, Tubman escaped to Philadelphia, only to return to Maryland to rescue her family soon after. Slowly, one group at a time, she brought relatives with her out of the state, and eventually guided dozens of other enslaved people to freedom. Tubman (or ""Moses"", as she was called) travelled by night and in extreme secrecy, and later said she ""never lost a passenger"". After the Fugitive Slave Act of 1850 was passed, she helped guide escapees farther north into British North America (Canada), and helped newly freed people find work. Tubman met John Brown in 1858, and helped him plan and recruit supporters for his 1859 raid on Harpers Ferry. When the Civil War began, Tubman worked for the Union Army, first as a cook and nurse, and then as an armed scout and spy. For her guidance of the raid at Combahee Ferry, which liberated more than 700 enslaved people, she is widely credited as the ","Harriet Tubman, 1822 births, 1913 deaths, 19th-century African-American people, 19th-century African-American women, 19th-century American slaves, 19th-century Christian mystics, 19th-century Methodists, 20th-century African-American people, 20th-century African-American women","1822, 1913, 1849, 1850, 1858","Birth and family, Childhood, Family and first husband, Escape from slavery, Nicknamed ""Moses""","Born: Araminta Rossc. March 1822[1]Dorchester County, Maryland, U.S. | Died: March 10, 1913 (aged 90–91)Auburn, New York, U.S. | Resting place: Fort Hill Cemetery, Auburn, New York, U.S.42°55′29″N 76°34′30″W﻿ / ﻿42.9246°N 76.5750°W﻿ / 42.9246; -76.5750 | Other names: MintyMoses | Occupations: Civil War scoutspynursesuffragistcivil rights activist | Known for: Guiding enslaved people to freedom | Spouses: John Tubman
​ ​(m. 1844; div. 1851)​

Nelson Davis
​ ​(m. 1869; died 1888)​ | Relatives: See Harriet Tubman's family",2025-06-22 19:27:28
Wikipedia,https://en.wikipedia.org/wiki/Frederick_Douglass,Frederick Douglass,Frederick Douglass,"Frederick Douglass (born Frederick Augustus Washington Bailey, c. February 14, 1818[a] – February 20, 1895) was an American social reformer, abolitionist, orator, writer, and statesman. He was the most important leader of the movement for African-American civil rights in the 19th century. After escaping from slavery in Maryland in 1838, Douglass became a national leader of the abolitionist movement in Massachusetts and New York and gained fame for his oratory and incisive antislavery writings. Accordingly, he was described by abolitionists in his time as a living counterexample to claims by supporters of slavery that enslaved people lacked the intellectual capacity to function as independent American citizens. Northerners at the time found it hard to believe that such a great orator had once been enslaved. It was in response to this disbelief that Douglass wrote his first autobiography. Douglass wrote three autobiographies, describing his experiences as an enslaved person in his Narrative of the Life of Frederick Douglass, an American Slave (1845), which became a bestseller and was influential in promoting the cause of abolition, as was his second book, My Bondage and My Freedom (1855). Following the Civil War, Douglass was an active campaigner for the rights of freed slaves and wrote his last autobiography, Life and Times of Frederick Douglass. First published in 1881 and revised in 1892, three years before his death, the book covers his life up to those dates. Douglass also actively supported women's suffrage, and he held several public offices. Without his knowledge or consent, Douglass became the first African American nominated for vice president of the United States, as the running mate of Victoria Woodhull on the Equal Rights Party ticket. Douglass believed in dialogue and in making alliances across racial and ideological divides, as well as, after breaking with William Lloyd Garrison, in the anti-slavery interpretation of the U.S. Constitution. When radical ","Frederick Douglass, 1810s births, 1872 United States vice-presidential candidates, 1895 deaths, 19th-century African-American businesspeople, 19th-century African-American writers, 19th-century American businesspeople, 19th-century American diplomats, 19th-century American male writers, 19th-century American memoirists","1818, 1895, 1838, 1845, 1855","Early life and slavery, Birth family, Early learning and experience, Escape from slavery, Religious views",Appointed by: Benjamin Harrison | Preceded by: John E. W. Thompson | Succeeded by: John S. Durham,2025-06-22 19:27:31
Wikipedia,https://en.wikipedia.org/wiki/Sojourner_Truth,Sojourner Truth,Sojourner Truth,"Sojourner Truth (/soʊˈdʒɜːrnər, ˈsoʊdʒɜːrnər/; born Isabella Bomefree; c. 1797 – November 26, 1883) was an American abolitionist and activist for African-American civil rights, women's rights, and alcohol temperance. Truth was born into slavery in Swartekill, New York, but escaped with her infant daughter to freedom in 1826. After going to court to recover her son in 1828, she became the first black woman to win such a case against a white man. She gave herself the name Sojourner Truth in 1843 after she became convinced that God had called her to leave the city and go into the countryside ""testifying to the hope that was in her."" Her best-known speech was delivered extemporaneously, in 1851, at the Ohio Women's Convention in Akron, Ohio. The speech became widely known during the Civil War by the title ""Ain't I a Woman?"", a variation of the original speech that was published in 1863 as being spoken in a stereotypical Black dialect, then more commonly spoken in the South. Sojourner Truth, however, grew up speaking Dutch as her first language. During the Civil War, Truth helped recruit black troops for the Union Army; after the war, she tried unsuccessfully to secure land grants from the federal government for formerly enslaved people (summarized as the promise of ""forty acres and a mule""). She continued to fight on behalf of women and African Americans until her death. As her biographer Nell Irvin Painter wrote, ""At a time when most Americans thought of slaves as male and women as white, Truth embodied a fact that still bears repeating: Among the blacks are women; among the women, there are blacks."" A memorial bust of Truth was unveiled in 2009 in Emancipation Hall in the U.S. Capitol Visitor Center. She is the first African American woman to have a statue in the Capitol building. In 2014, Truth was included in Smithsonian magazine's list of the ""100 Most Significant Americans of All Time"".","Sojourner Truth, 1797 births, 1883 deaths, 19th-century African-American people, 19th-century African-American women, 19th-century American slaves, 19th-century Christian saints, 19th-century Methodists, African-American abolitionists, American abolitionists","1797, 1883, 1826, 1828, 1843","Early years, Freedom, The result of freedom, ""Ain't I a Woman?"", Other speeches","Born: Isabella Bomefreec. 1797Swartekill, New York, U.S. | Died: November 26, 1883 (aged 86)Battle Creek, Michigan, U.S. | Occupation(s): Abolitionist, human rights activist | Parents: James Bomefree (father)Elizabeth Bomefree (mother)",2025-06-22 19:27:33
Wikipedia,https://en.wikipedia.org/wiki/W._E._B._Du_Bois,W. E. B. Du Bois,W.E.B. Du Bois,"William Edward Burghardt Du Bois (/duːˈbɔɪs/ doo-BOYSS; February 23, 1868 – August 27, 1963) was an American sociologist, socialist, historian, and Pan-Africanist civil rights activist. Born in Great Barrington, Massachusetts, Du Bois grew up in a relatively tolerant and integrated community. After completing graduate work at Harvard University, where he was the first African American to earn a doctorate, Du Bois rose to national prominence as a leader of the Niagara Movement, a group of black civil rights activists seeking equal rights. Du Bois and his supporters opposed the Atlanta Compromise. Instead, Du Bois insisted on full civil rights and increased political representation, which he believed would be brought about by the African-American intellectual elite. He referred to this group as the talented tenth, a concept under the umbrella of racial uplift, and believed that African Americans needed the chance for advanced education to develop their leadership. Du Bois was one of the founders of the National Association for the Advancement of Colored People (NAACP) in 1909. Du Bois used his position in the NAACP to respond to racist incidents. After the First World War, he attended the Pan-African Congresses, embraced socialism and became a professor at Atlanta University. Once the Second World War had ended, he engaged in peace activism and was targeted by the Federal Bureau of Investigation. He spent the last years of his life in Ghana and died in Accra on August 27, 1963. Du Bois was a prolific author. He primarily targeted racism with his writing, which protested strongly against lynching, Jim Crow laws, and racial discrimination in important social institutions. His cause included people of color everywhere, particularly Africans and Asians in colonies. He was a proponent of Pan-Africanism and helped organize several meetings of the Pan-African Congress to fight for the independence of African colonies from European powers. Du Bois made several trips to Europe","W. E. B. Du Bois, 1868 births, 1963 deaths, 19th-century African-American academics, 19th-century American social scientists, 19th-century American academics, 19th-century American philosophers, 20th-century African-American academics, 20th-century American academics, 20th-century American male writers","1868, 1963, 1909, 1963, 1935","Early life, Family and childhood, University education, Wilberforce, Philadelphia","Born: William Edward Burghardt Du Bois(1868-02-23)February 23, 1868Great Barrington, Massachusetts, U.S. | Died: August 27, 1963(1963-08-27) (aged 95)Accra, Ghana | Citizenship: United StatesGhana (from 1961) | Education: Fisk University (BA)Harvard University (AB, PhD)Friedrich Wilhelm University | Known for: The Souls of Black Folk (1903)Black Reconstruction in America (1935)The Crisis | Spouses: Nina Gomer
​ ​(m. 1896; died 1950)​
Lola Shirley Graham Jr.
​ ​(m. 1951)​ | Children: 2, including Yolande | Mother: Mary Silvina Burghardt Du Bois",2025-06-22 19:27:36
Wikipedia,https://en.wikipedia.org/wiki/Booker_T._Washington,Booker T. Washington,Booker T. Washington,"Ernest Davidson Washington Booker Taliaferro Washington (April 5, 1856 – November 14, 1915) was an American educator, author, and orator. Between 1890 and 1915, Washington was the primary leader in the African-American community and of the contemporary Black elite. Born into slavery on April 5, 1856, in Hale's Ford, Virginia, Washington was freed when U.S. troops reached the area during the Civil War. As a young man, Booker T. Washington worked his way through Hampton Normal and Agricultural Institute and attended college at Wayland Seminary. In 1881, he was named as the first leader of the new Tuskegee Institute in Alabama, an institute for black higher education. He expanded the college, enlisting students in construction of buildings. Work at the college was considered fundamental to students' larger education. He attained national prominence for his Atlanta Address of 1895, which attracted the attention of politicians and the public. Washington played a dominant role in black politics, winning wide support in the black community of the South and among more liberal whites. Washington wrote an autobiography, Up from Slavery, in 1901, which became a major text. In that year, he dined with Theodore Roosevelt at the White House, which was the first time a black person publicly met the president on equal terms. After an illness, he died in Tuskegee, Alabama on November 14, 1915. Washington was a key proponent of African-American businesses and one of the founders of the National Negro Business League. Washington mobilized a nationwide coalition of middle-class blacks, church leaders, and white philanthropists and politicians, with the goal of building the community's economic strength and pride by focusing on self-help and education. Washington had the ear of the powerful in the United States of his day, including presidents. He used the nineteenth-century American political system to manipulate the media, raise money, develop strategy, network, distribute funds, and ","Booker T. Washington, 20th-century African-American academics, 20th-century American academics, African-American businesspeople, African-American writers, American writers, Presidents of Tuskegee University, Progressive Era in the United States, Alabama Republicans, Writers from Alabama","1856, 1915, 1890, 1915, 1856","Early life, Higher education, Tuskegee Institute, Later career, Marriages and children","Born: Booker Taliaferro Washington(1856-04-05)April 5, 1856Hale's Ford, Virginia, U.S. | Died: November 14, 1915(1915-11-14) (aged 59)Tuskegee, Alabama, U.S. | Resting place: Tuskegee University | Alma mater: Hampton Normal and Agricultural InstituteWayland Seminary | Occupations: Educator
author
African-American civil rights leader | Political party: Republican | Spouses: Fannie N. Smith
​ ​(m. 1882; died 1884)​
Olivia A. Davidson
​ ​(m. 1886; died 1889)​
Margaret Murray ​(m. 1893)​ | Children: Portia M. Washington Pittman
Ernest Davidson Washington

Booker T. Washington, Jr.",2025-06-22 19:27:38
Wikipedia,https://en.wikipedia.org/wiki/Rosa_Parks,Rosa Parks,Rosa Parks,"Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American civil rights activist. She is best known for her refusal to move from her seat on a bus in Montgomery, Alabama, in defiance of Jim Crow laws, which sparked the Montgomery bus boycott. She is also sometimes known as the ""mother of the civil rights movement"". Parks joined the Montgomery chapter of the National Association for the Advancement of Colored People (NAACP) in 1943, serving as the organization's secretary. Despite various policies designed to disenfranchise Black citizens, Parks successfully registered to vote after three separate attempts between 1943 and 1945. She investigated and organized campaigns around cases of racial and sexual violence in her capacity as NAACP secretary, including those of Recy Taylor and Jeremiah Reeves, laying the groundwork for future civil rights campaigns. Prior to Parks's refusal to move, numerous Black Montgomerians had engaged in similar acts of resistance against segregated public transportation. After Parks's arrest in 1955, local activists decided to use her case as a test case against segregation, leading the Women's Political Council (WPC) to organize a one-day bus boycott on the day of her trial. The boycott was widespread, with many Black Montgomerians refusing to ride the buses that day. After Parks was found guilty of violating state law, it was extended indefinitely, with the Montgomery Improvement Association (MIA) organizing its own community transportation network to sustain it. During this time, Parks and other boycott leaders faced harassment, ostracization, and various legal obstacles. The boycott lasted for 381 days, finally concluding after segregation on Montgomery buses was deemed unconstitutional in the court case Browder v. Gayle.","Rosa Parks, 1913 births, 2005 deaths, 20th-century African-American people, 20th-century African-American women, 21st-century African-American people, 21st-century African-American women, Activists for African-American civil rights, Activists from Detroit, Activists from Montgomery, Alabama","1913, 2005, 1943, 1943, 1945","Early life, Early activism, Arrest and bus boycott, Montgomery buses: law and prevailing customs, Refusal to move","Born: Rosa Louise McCauley(1913-02-04)February 4, 1913Tuskegee, Alabama, U.S. | Died: October 24, 2005(2005-10-24) (aged 92)Detroit, Michigan, U.S. | Resting place: Woodlawn Cemetery, Detroit | Education: Alabama State Teachers College for Negroes (now Alabama State University) | Occupation: Civil rights activist | Known for: Montgomery bus boycott | Movement: Civil Rights Movement | Spouse(s): Raymond Parks(m. 1932; died 1977)",2025-06-22 19:27:41
